;account_id;sales_channel_id;dataset;train RMSE;test RMSE;train MAE;test MAE
41;173e2b27-8bc6-44d1-b581-a1913d6b1894;16;n_orders;;;;
42;173e2b27-8bc6-44d1-b581-a1913d6b1894;18;price_total_agg;;;;
43;173e2b27-8bc6-44d1-b581-a1913d6b1894;18;n_orders;;;;
44;2058f680-aace-4b31-aed4-f34397b75096;1;price_total_agg;;;;
45;2058f680-aace-4b31-aed4-f34397b75096;1;n_orders;;;;
46;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;1;price_total_agg;;;;
47;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;1;n_orders;;;;
48;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;2;price_total_agg;;;;
49;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;2;n_orders;;;;
50;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;4;price_total_agg;;;;
51;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;4;n_orders;;;;
52;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;5;price_total_agg;;;;
53;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;5;n_orders;;;;
54;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;6;price_total_agg;;;;
55;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;6;n_orders;;;;
56;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;8;price_total_agg;;;;
57;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;8;n_orders;;;;
58;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;9;price_total_agg;;;;
59;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;9;n_orders;;;;
60;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;10;price_total_agg;;;;
61;22fde42e-45d7-46cd-9d6f-3a4dbabbc579;10;n_orders;;;;
62;3dc15e4b-b60d-4c49-aae8-97cf9664af51;1;price_total_agg;;;;
63;3dc15e4b-b60d-4c49-aae8-97cf9664af51;1;n_orders;;;;
64;3dc15e4b-b60d-4c49-aae8-97cf9664af51;2;price_total_agg;;;;
65;3dc15e4b-b60d-4c49-aae8-97cf9664af51;2;n_orders;;;;
66;423a069b-27b8-44ed-9ef3-ca3cf9470970;1;price_total_agg;;;;
67;423a069b-27b8-44ed-9ef3-ca3cf9470970;1;n_orders;;;;
68;423a069b-27b8-44ed-9ef3-ca3cf9470970;2;price_total_agg;;;;
69;423a069b-27b8-44ed-9ef3-ca3cf9470970;2;n_orders;;;;
70;478cd985-f4fc-45b4-ac71-bf78cf11e07b;1;price_total_agg;;;;
71;478cd985-f4fc-45b4-ac71-bf78cf11e07b;1;n_orders;;;;
72;478cd985-f4fc-45b4-ac71-bf78cf11e07b;2;price_total_agg;;;;
73;478cd985-f4fc-45b4-ac71-bf78cf11e07b;2;n_orders;;;;
74;478cd985-f4fc-45b4-ac71-bf78cf11e07b;3;price_total_agg;;;;
75;478cd985-f4fc-45b4-ac71-bf78cf11e07b;3;n_orders;;;;
76;478cd985-f4fc-45b4-ac71-bf78cf11e07b;4;price_total_agg;;;;
77;478cd985-f4fc-45b4-ac71-bf78cf11e07b;4;n_orders;;;;
78;478cd985-f4fc-45b4-ac71-bf78cf11e07b;5;price_total_agg;;;;
79;478cd985-f4fc-45b4-ac71-bf78cf11e07b;5;n_orders;;;;
80;478cd985-f4fc-45b4-ac71-bf78cf11e07b;6;price_total_agg;;;;
81;478cd985-f4fc-45b4-ac71-bf78cf11e07b;6;n_orders;;;;
82;50409b57-b000-43d5-9358-44c3081c4132;1;price_total_agg;;;;
83;50409b57-b000-43d5-9358-44c3081c4132;1;n_orders;;;;
84;50409b57-b000-43d5-9358-44c3081c4132;2;price_total_agg;;;;
85;50409b57-b000-43d5-9358-44c3081c4132;2;n_orders;;;;
86;50409b57-b000-43d5-9358-44c3081c4132;3;price_total_agg;;;;
87;50409b57-b000-43d5-9358-44c3081c4132;3;n_orders;;;;
88;50409b57-b000-43d5-9358-44c3081c4132;5;price_total_agg;;;;
89;50409b57-b000-43d5-9358-44c3081c4132;5;n_orders;;;;
90;50409b57-b000-43d5-9358-44c3081c4132;6;price_total_agg;;;;
91;50409b57-b000-43d5-9358-44c3081c4132;6;n_orders;;;;
92;50409b57-b000-43d5-9358-44c3081c4132;7;price_total_agg;;;;
93;50409b57-b000-43d5-9358-44c3081c4132;7;n_orders;;;;
